table_name,column_name,data_type,status,null_count,null_pct,distinct_count
blocks,hash,String,OK,0,0.0,2000
blocks,size,Int64,NOT_CHECKED,0,0.0,132
blocks,stripped_size,Int64,NOT_CHECKED,0,0.0,132
blocks,weight,Int64,NOT_CHECKED,0,0.0,132
blocks,number,Int64,NOT_CHECKED,0,0.0,2000
blocks,version,Int64,NOT_CHECKED,0,0.0,24
blocks,merkle_root,String,OK,0,0.0,2000
blocks,timestamp,"Datetime(time_unit='ns', time_zone='UTC')",OK,0,0.0,1999
blocks,timestamp_month,Date,OK,0,0.0,2
blocks,nonce,String,OK,0,0.0,2000
blocks,bits,String,OK,0,0.0,4
blocks,coinbase_param,String,OK,0,0.0,729
blocks,transaction_count,Int64,NOT_CHECKED,0,0.0,27
